Ulasan;Sentimen
tidak direkomendasikan bikin perut tidak enak tidak sesuai deskripsi;negatif
baru coba sedikit butuh waktu untuk lihat hasil oke untuk sekarang;netral
efeknya lama banget muncul harga tidak sebanding kualitas kurang memuaskan;negatif
belum tahu hasilnya belum bisa menilai efeknya tidak buruk;netral
belum tahu hasilnya tidak ada masalah sejauh ini semoga ada hasil;netral
pengalaman kurang baik tidak nyaman dipakai tidak sesuai deskripsi;negatif
aku kecewa pengiriman telat dan kemasan rusak sangat mengecewakan;negatif
ga ada perubahan sama sekali cuma buang uang kurang memuaskan;negatif
produk aman digunakan cocok untuk pemula moga cocok nantinya;netral
belum tahu hasilnya belum ada efek signifikan tidak buruk;netral
produk aman digunakan butuh waktu untuk lihat hasil biasa saja;netral
produk aman digunakan netral tidak ada perubahan berarti oke untuk sekarang;netral
setelah coba beberapa hari tidak nyaman dipakai nyesel beli;negatif
aroma biasa saja belum bisa menilai efeknya moga cocok nantinya;netral
efeknya lama banget muncul malah bikin mulas kurang memuaskan;negatif
hasilnya jauh dari ekspektasi harga tidak sebanding kualitas nyesel beli;negatif
tidak direkomendasikan harga tidak sebanding kualitas nyesel beli;negatif
bikin pusing harga tidak sebanding kualitas tidak sesuai deskripsi;negatif
pengalaman kurang baik harga tidak sebanding kualitas tidak beli lagi;negatif
masih tunggu hasil cocok untuk pemula semoga ada hasil;netral
bau kurang enak tidak ada efek asli parah banget;negatif
belum tahu hasilnya butuh waktu untuk lihat hasil oke untuk sekarang;netral
aroma biasa saja lumayan untuk percobaan oke untuk sekarang;netral
aku kecewa teksturnya aneh produk gagal total;negatif
bikin pusing pengiriman telat dan kemasan rusak kurang memuaskan;negatif
aku kecewa harga tidak sebanding kualitas tidak beli lagi;negatif
baru coba sedikit cocok untuk pemula tidak buruk;netral
pengiriman cepat tidak ada masalah sejauh ini tidak buruk;netral
efeknya lama banget muncul tidak nyaman dipakai parah banget;negatif
bikin pusing cuma buang uang kurang memuaskan;negatif
aku kecewa belum terasa manfaatnya nyesel beli;negatif
hasilnya jauh dari ekspektasi teksturnya aneh nyesel beli;negatif
belum tahu hasilnya masih proses penyesuaian biasa saja;netral
efeknya lama banget muncul pengiriman telat dan kemasan rusak sangat kawan;negatif
bau kurang enak cuma buang uang parah banget;negatif
tidak direkomendasikan tidak ada efek asli sangat mengecewakan;negatif
efeknya lama banget muncul harga tidak sebanding kualitas tidak beli lagi;negatif
respon penjual baik netral tidak ada perubahan berarti biasa saja;netral
kemasan rapi masih proses penyesuaian oke untuk sekarang;netral
ga ada perubahan sama sekali pengiriman telat dan kemasan rusak kurang memuaskan;negatif
sudah pakai seminggu bikin perut tidak enak kurang memuaskan;negatif
rasa standar saja belum bisa menilai efeknya tidak buruk;netral
bikin pusing pengiriman telat dan kemasan rusak tidak sesuai deskripsi;negatif
sudah pakai seminggu hasilnya mengecewakan tidak sesuai deskripsi;negatif
rasa terlalu pahit tidak nyaman dipakai tidak beli lagi;negatif
respon penjual baik butuh waktu untuk lihat hasil lumayan lah;netral
bau kurang enak hasilnya mengecewakan nyesel beli;negatif
produk aman digunakan belum ada efek signifikan oke untuk sekarang;netral
rasa standar saja butuh waktu untuk lihat hasil biasa saja;netral
rasa terlalu pahit teksturnya aneh kapok beli sini lagi;negatif
pengiriman cepat masih proses penyesuaian moga cocok nantinya;netral
tidak direkomendasikan teksturnya aneh parah banget;negatif
kemasan rapi belum ada efek signifikan tidak buruk;netral
tidak direkomendasikan malah bikin mulas produk gagal total;negatif
produk aman digunakan butuh waktu untuk lihat hasil lumayan lah;netral
hasilnya jauh dari ekspektasi teksturnya aneh produk gagal total;negatif
aku kecewa malah bikin mulas tidak sesuai deskripsi;negatif
efeknya lama banget muncul harga tidak sebanding kualitas sangat mengecewakan;negatif
efeknya lama banget muncul teksturnya aneh kurang memuaskan;negatif
respon penjual baik tidak ada masalah sejauh ini oke untuk sekarang;netral
masih tunggu hasil butuh waktu untuk lihat hasil semoga ada hasil;netral
hasilnya jauh dari ekspektasi hasilnya mengecewakan parah banget;negatif
setelah coba beberapa hari tidak ada efek asli parah banget;negatif
respon penjual baik belum ada efek signifikan semoga ada hasil;netral
setelah coba beberapa hari hasilnya mengecewakan tidak sesuai deskripsi;negatif
rasa standar saja lumayan untuk percobaan semoga ada hasil;netral
aroma biasa saja masih proses penyesuaian moga cocok nantinya;netral
masih tunggu hasil belum ada efek signifikan semoga ada hasil;netral
setelah coba beberapa hari cuma buang uang tidak rekomendasi;negatif
sudah pakai seminggu harga tidak sebanding kualitas kurang memuaskan;negatif
aroma biasa saja belum ada efek signifikan biasa saja;netral
rasa standar saja belum ada efek signifikan tidak buruk;netral
setelah coba beberapa hari belum terasa manfaatnya sangat mengecewakan;negatif
pengalaman kurang baik malah bikin mulas produk gagal total;negatif
kemasan rapi butuh waktu untuk lihat hasil lumayan lah;netral
sudah pakai seminggu malah bikin mulas parah banget;negatif
sudah pakai seminggu malah bikin mulas sangat mengecewakan;negatif
belum tahu hasilnya belum bisa menilai efeknya biasa saja;netral
masih tunggu hasil belum ada efek signifikan tidak buruk;netral
baru coba sedikit belum bisa menilai efeknya biasa saja;netral
rasa terlalu pahit bikin perut tidak enak nyesel beli;negatif
masih tunggu hasil netral tidak ada perubahan berarti tidak buruk;netral
sudah pakai seminggu hasilnya mengecewakan produk gagal total;negatif
efeknya lama banget muncul pengiriman telat dan kemasan rusak sangat mengecewakan;negatif
masih tunggu hasil belum ada efek signifikan lumayan lah;netral
tidak direkomendasikan tidak ada efek asli nyesel beli;negatif
aku kecewa hasilnya mengecewakan kurang memuaskan;negatif
sudah pakai seminggu pengiriman telat dan kemasan rusak produk gagal total;negatif
sudah pakai seminggu tidak ada efek asli kapok beli sini lagi;negatif
aku kecewa tidak ada efek asli sangat mengecewakan;negatif
kemasan rapi lumayan untuk percobaan oke untuk sekarang;netral
masih tunggu hasil butuh waktu untuk lihat hasil biasa saja;netral
ga ada perubahan sama sekali cuma buang uang tidak beli lagi;negatif
kemasan rapi belum bisa menilai efeknya oke untuk sekarang;netral
respon penjual baik butuh waktu untuk lihat hasil oke untuk sekarang;netral
rasa terlalu pahit tidak ada efek asli sangat mengecewakan;negatif
tidak direkomendasikan bikin perut tidak enak parah banget;negatif
masih tunggu hasil belum ada efek signifikan moga cocok nantinya;netral
bau kurang enak harga tidak sebanding kualitas kapok beli sini lagi;negatif
mkasih bnyak kalau cocok nanti pesan lagi;positif
belum di coba semoga cocok di aku kalau cocok bakalan order lagi;positif
keren pokoknya produk terbaik;positif
pngeirimanya cepat;positif
semoga bisa bermanfaat dengan baik;positif
kalau cocok pasti order lagi;positif
barang sudah sampai saya suka banget nanti kalau saya cocok saya akan beli lag di toko ini pengiriman cepat banget pokoknya gak menyesal dah;positif
wahh penjual sangat amanah sangat ramah dan siap membantu selamat maksih penjual paket datang dengan cepat dan sampai tujuan semoga cocok di saya dan bisa pesan lagi;positif
yakin produk ini bagus banget baru minum udah gak keputihan lagi produk murah tapi gak kalah dengan produk yang mahal bakal berlangganan deh beli produk ini lagi pengiriman cepat seller juga ramah makasih seller maaf baru kasih testi;positif
dua kali pesan disini;positif
terjangkau;positif
alhamdulillah pesanan sudah datang cepet banget kemaren beli hari ini sampai cepat respon banget penjualnya atas izin allah semoga jadi penyebab penyembuh aamiin makasih yaa sukses selalu semoga cocok dan jadi langganan in syaa allah;positif
terimah kasih barang sudah sampai dengan aman dan kemasan baik tapi maaf belum di coba karena masih menstruasi jadi belum pakai semoga saja cocok;positif
produk asli pengkiriman selalu cepat sudah langanan disni respon penjual cepat top banget buat keputihan dan telat datang bulan;positif
pengepakan rapih bangt bau wangi jamu gitu deh toko amanah kurir baik dan sopan makasih semuanya bagi yang mau beli majasmara ini jangan ragu yah beli di toko ini;positif
madura terkenal dengan ramuan masalah kewanitaan semoga bener dan toko nya amanah memberikan produk asli madura aku bakalan pesan lagi disini kalo manjur ya;netral
makasih kak paket sudah kami terima dengan aman dan lengkap paking aman dan kurir amanah semoga semakin berkah sellu ya kak usahanya;positif
respon penjual cepat pengirimannya juga cepat dicoba dulu ya;positif
pengen mencoba ramuan ini untuk menghilangkan keputihan diatas normal semoga berhasil dan pengirimannya sangat cepat terima kasih shopee;netral
pertama coba semoga bisa bermanfaat kalau cocok langganan bisa toko amanah barang sesuai pesanan dapat bonus lagi sukses terus buat tokonya trimakasih shopee pengiriman jetset pesan jumat sabtu nyampe top banget buat toko ini;netral
pesanan sudah sampai ini pesanan yang kedua Alhamdulillah beli yang pertama cocok terima kasih banyak respon dan juga pengiriman cepat;positif
semoga cocok diaku pemiliknya ramah dan baik cepat respon banget semoga cocok dan bisa jadi langganan;positif
terimaksi penjual barang sudah saya terima dan barang asli sesuai dengan yang saya pesan sudah saya pakai sengaja mau kasih ulasan sekarang karna mau tau kasiat nya dulu dan aku suka banget kasiat nya manjur memang bikin keputihan hilang dan rapet juga maksih ya penjual semoga jualan tambah lancar amiin;positif
pengiriman cepat produk aman terima kasih;positif
semoga cocok di aku bismillah pelayanan gerak cepat banget gatau kalau tokonya deketkurir terbaik banget hujan tetep dikirim;netral
pengiriman cepat banget jawatimur ke bandung cuma sehari setegah;positif
ini pesanan yang ke tiga kali;positif
pesanan sudah sampai alhamdulillah ini pesanan ke sekian kali nya alhamdulillahnya cocok respon dan pengiriman cepat terimakasih banyak;positif
masih mencoba;netral
paket sudah diterima dengan baik semoga cocok dan bisa mengatasi masalah kewanitaan terima kasih penjual terima kasih juga untuk pak kurir;positif
pesanan sudah sampai respon juga pengiriman cepat terimakasih banyak semog cocok;positif
terima kasih sudah sampai barangnya belum bisa kasih kesaksian untuk khasiatnya karna belum bisa dicoba karena pas barang datang saya lagi datang bulan;netral
terima kasih penjual;netral
barang baru sampe dan belum di coba semoga bermanfaat dan bisa beli ulang paking rapih kerahasiaannya terjaga;positif
dari aromanya sering di jual orang waktu mendekati bulan puasa;negatif
alhamdulilah barang sudah sampai respon penjual juga ramah dan masalah khasiatnya belum kelihatan semoga cocok dan bisa berlangganan pengirimam bisa cepat;positif
semoga cocok yah baru pertama kali minum jamu ini terima kasih pengiriman cepat;netral
khasiatnya oke banget manjur khasiatnya oke banget manjur khasiatnya oke banget manjur;positif
menurut saya kesaksian terbaik diberikan setelah memakai dan merasakan manfaat obat ini;netral
aman;positif
baca banyak yang sudah pake jadi tertarik dengan iklannya semoga cocok;positif
aman;positif
mudah cocok nih sudah bnyak minum obat semoga ini yang paling cocok;netral
barang sudah sampai dan aku suka karena harganya juga sangat terjangkau pengemasan cepat sangat puas belanja disini;positif
terjaga banget;positif
paket sudah diterima dengan baik packing aman obat expired masih lama smoga aja haid istriku lancar dan cepat dapat anak amiin;positif
pengiriman sangat cepat pesan jumat siang minggu sore sudah sampai padhal ke tangerang baru pertama kali coba semoga cocok makasih penjual;positif
makasih shopee baru nyoba sih semoga amanah;netral
proses cepet banget belum mencoba semoga cocok dan keset;positif
pengiriman cepat pesan kemarin tadi sudah sampai semoga cocok;positif
bismilah cocok nanti buat langganan kak super cepat rekomendasi banget tokonya;netral
bismillah mudahan cocok;netral
baru dicoba;netral
saya suka dengan jamu herbal alami warisan nenek moyang kita;positif
sangat berkhsiat untuk kesehatan rahim;positif
penggiriman cepat dan penggemasan sangat rapi semoga cocok sesuai dengan spesifikasinya;positif
herbal murah;positif
semoga saya cocok dan bisa cepat menstruasi pengiriman cepat sekali kemasannya juga rapi;positif
pengiriman bagus dan pengirimaannya cepat;positif
puas belanja disini;positif
belum tau semoga;netral
sudah mencoba yang kedua kalinya;positif
pengiriman cepat;positif
produk sudah sampe dan bener kok paketnya di privasi dengan aman respon kak penjualnya juga ramah dan masalah khasiatnya belum kelihatan soalnya baru minum semoga bisa bermanfaat sesuai yang di deskripsikan aamin;positif
pengiriman cepat kurir langganan semoga cocok;positif
barang udah sampai packingnya rapi ya tersegel gitu makasih buat mas kurirnya selalu ramah;positif
terima kasih paket nya sudah datang alhamdulillah ya;positif
barang sudah sampai di alamat saya kak barang real madrid cf di;positif
alhamdulillah sudah sampai mudah cocok cepat membaik terima kah;positif
pengiriman cepat semoga cocok dibadan;positif
beneran ini sangat bagus banget;positif
pengiriman cepat semoga produknya juga cocok;positif
belum pernah ini baru ingin mencoba semoga ada hasilnya;positif
coba dulu nanti kalo bagus saya tambah komentarnya;positif
terima kasih kak maaf telat kasih nilai karena mau coba dulu alhamdulillah keputihan dan bau tidak sedap berkurang selanjutnya beli lagi maaf foto hanya pemanis;positif
mengulangi beli yang kesekian kali ini;netral
efektif untuk keluhan kaum wanita;netral
bagus;positif
sampai dengan selamat kurirnya ramah semoga khasiat juga terbukti;positif
mudahan di aku cocok;netral
belum di coba dan belum tau khasiatnya;negatif
walaupun menginap beberapa malam di cakung dc barang sampai sehat walafiat semoga cocok;negatif
makasih admin sudah sampai;positif
privasi aman ya teman kalo minta diprivasi pasti aman kok paket aku sudah dateng makasi yaa;positif
maaf ya fotonya lain pengirimannya cepat langsung dikirim pas dihari pesennya privasi terjaga baru nyoba semoga cocok di saya terima kasih;positif
oke sih;negatif
paket nya baru sampai baru mau coba semoga khasiatnya terbukti dan kita merasakan nikmatnya minum ramuan nya;positif
bagus banget ampuh rapih responnya cepat belum habis dijual klo sdh saya order lagi;positif
respon penjual cepat pengiriman barang cepat kurirny juga ramah terima kasih pripasi aman;positif
pengiriman cepat harga terjangkau respon penjual cepat;positif
sudah belanja yang cocok dan bermanfaat;positif
barang sudah sampai dengan pengiriman cepat maaf gabisa foto produk karena pesanan orang lain terima kasih;positif
semoga cocok baru minum hari sudah ngefek allhamdulillah semoga bisa jadi langganan;positif
pembelian ke beli lagi karena cocok sudah tidak ada keluhan sakit lagi kalau haid;positif
belum di coba mudahan cocok alhamdullilah barangnya cepat sampai terima kasih shopee;netral
sangat cepat pengirimannya saya suka dan sangat suka dan suka sekali;positif
saya udah minggu minum udah ga keputihan lah;positif
pengiriman cepat respon penjual bagus cepat oke;positif
paketnya sudah sampai semoga cocok di aku;positif
pengiriman bagus rapi makasih saya suka semoga cocok nanti order lagi;positif
baru nyobain produk ini semoga cocok yaaa biar order lagi;positif
sudah tiba paketnya tapi belum dicoba makasih kak;positif
sukses;positif
bagus baru minum keputihan sudah berkurang atas deh;positif
bagus banget sudah ke sekian kali nya order disni maaf bukan gambar dan video asli ya soal nya pesanan orang jadi sudah di ambl sama yang pesan;positif
manjur khasiatnya;positif
pengirimannya lama tapi bagus lah yang penting sampai aja barangnya;negatif
bagus;positif
semoga cocok;netral
untuk melancarkan haid;positif
aman;positif
terima kasih;netral
baru datang barangnya semoga cocok;netral
makasih dapat bonus juga pasti berlangganan disini deh;positif
mau coba dulu mudah dan bagus;netral
jamu tradisional;netral
selanjutnya order lagi klu ada khasiatnya baru coba juga sih;positif
produk sampai sesuai pesanan dan tepat waktu;positif
barang sesuai gambar;positif
belum di coba semoga aja cocok;positif
bagus dan bermanfaat sudah nyoba memuaskan dan hasilnya mantap;positif
baru coba mudahan ber khasiat;netral
merakyat;netral
Rasanya jamu manjur banget;positif
aku kasih bintang dulu ya kalau sudah terasa khasiatnya nanti diubah penilaiannya;positif
bakal jadi langanan;positif
rapi sekali;positif
bikin suami tambah sayang;positif
semoga cocok baru mau coba;positif
bagus bagus bagus;positif
tidak komentar pokoknya mantap;positif
bisa berhasiat;positif
semoga cocok;positif
Bagus;positif
mudahan cocok untuk bulanan yang telat dan sedikit mudahan dengan ikhtiar ini semua keluhanku teratasi mudahan juga dapat bonus gratis aamiin;positif
menuntaskan permasalahan wanita;positif
oke juga;positif
terima kasih penjual pesenan saya sudah sampai dengan aman dan cepat;positif
menjaga privasi;positif
khasiatnya bagus;positif
baru pertama kali beli produk ini;positif
bismillah sehat untuk keputihan;positif
paket mendarat dengan selamat terima kasih;positif
paket sudah diterima dengan aman;positif
smoga khasiat nya cepat terasa dan saya cepat hamil aamiin produk asli dan halal mui aku sangat suka bangeeet;positif
kayaknya dah mulai efeknya dah mulai berkurang keputihannya walaupun masih ada;positif
oke gitu;netral
belum tahu soalnya dikirim ke tempat lain;netral
rasanya segar kapan pesan lagi;positif
belum coba;netral
paket diterima dalam keadaan terbuka bagian samping;negatif
semoga cocok;netral
berasa hasilnya terima kasih untuk bonus nya;positif
produk belum dicoba;netral
penjualnya direkomendasikan barang datang dengan selamat;positif
sayang respon lama dari penjual;negatif
karena harga paling murah dan pengirimannya cepat;positif
tapi entah bubuk apa yang bertebaran di dalam kemasan;negatif
mudahan khasiatnya oke;netral
aman dan produk oke;positif
dijamin asli dan pengiriman cepat;positif
bukannya di telpon whatsapp dulu sama penerima dulu malah;negatif
sukses mas;netral
kualitas lagi dicoba mudahan cocok trimakasih;netral
sesuai dengan deskripsi;positif
sesuai deskripsi;netral
kualitas lagi dicoba;netral
sesuai gambar;positif
bertaruh tempat rapih;positif
terima kasih;positif
tidak ada efeknya;negatif
tidak ada banget efeknya;negatif
cepat sampai tempat bagus;positif
barang sudah diterima dengan baik;positif
terima kasih;positif
proses cepat;positif
semoga keliatan hasilnya nanti;netral
hampir tidak berfungsi;negatif
baru mencoba nanti kalau cocok beli lagi;netral
barang bagus sesuai pesanan;positif
harapannya nyaman buat badan;positif
hasiatnya sangat luar biasa;positif
mudah dan cocok;netral
mudahan cocok;netral
barang sesuai deskripsi harga cocok buat penjual dan respon penjual sangat cepat terimakasih;positif
terus penjualnya juga responsif banget makasih;positif
produk asli;positif
semoga cocok cuma lama pengirimannya;netral
efeknya cepat banget mantap;positif
ada barang;netral
respon penjual sangat baik;positif
dikemas cepat;positif
tapi belum dicoba sih makasih;netral
terima kasih baru mau dicoba semoga bagus biar nanti jadi langganan;netral
jadi ya begitulah;netral
ngomong ngomong pait banget semoga hasilnya memuaskan;positif
terima kasih toko rinn toko daring;positif
maksih penjual dan tidak perlu ragukan saran buat toko;positif
rapi dan aman;positif
mantap dan memuaskan;positif
semoga mujarab;netral
pelayanan oke;positif
kurir ramah;positif
sangat manjur;positif
bekerja lah;positif
tokonya oke banget;positif
sangat bagus;positif
aroma jamu masih segar;positif
respon cepat;positif
kualitas bagus;positif
semoga sesuai harapan;netral
pengiriman tepat waktu;positif
pengepakan aman;positif
pengeirimannya saja yang lumayan lama;negatif
cepat sampai;positif
semoga sesuai ekspektasi khasiatnya;netral
bakal pesan lagi;positif
dapat program cashback lagi;positif
kualitas baik;positif
aman terkendali;positif
sudah berlangganan;positif
barang tidak sampai;negatif
semoga berkhasiat dan oke;netral
barang sdh diterima sebelum pembelian khasiatnya mantab;positif
pelayanan bagus;positif
sangat manjur;positif
harga bersaing;positif
terima kasih;positif
oke nih;positif
mantap;positif
udah dicoba dan sudah berlangganan di penjual ini;netral
packing rapi namun seperti ada kapsul yang pecah sehingga agak belepotan di dalam botol packing rapi;negatif
sekarang sudah di tangan makasih shopee;netral
belum dicoba;netral
srmoga cocok;netral
suruh mengembalikan tidak ada waktu;negatif
pengepakan aman;positif
berasa seger sih badan;positif
puas pokoknya;positif
respon penjual dan harga produk sangat baik;positif
packing rapi cepat respon sehari sampai;positif
tokonya amanah;positif
sesuai pesanan;positif
aamiin;netral
cepet sekali sampainya;positif
serbuknya nggak ke kardus dan menghindari barangnya kena air jamu rusak tapi oke lah sih bisa ke pake;negatif
barangnya lengkap;positif
terima kasih;netral
produknya juga oke;positif
cepat sampai bagus deh pokoknya;positif
bisa jadi berlangganan nih;netral
terima kasih;positif
semoga kedepannya lebih baik terima kasih;negatif
semoga cocok;netral
sesuai;positif
sangat direkomendasikan;positif
respon penjual baik lumayan untuk percobaan semoga ada hasil;netral
masih tunggu hasil tidak ada masalah sejauh ini lumayan lah;netral
baru coba sedikit cocok untuk pemula oke untuk sekarang;netral
rasa terlalu pahit tidak nyaman dipakai produk gagal total;negatif
efeknya lama banget muncul malah bikin mulas nyesel beli;negatif
produk aman digunakan netral tidak ada perubahan berarti semoga ada hasil;netral
bau kurang enak tidak nyaman dipakai kurang memuaskan;negatif
rasa standar saja tidak ada masalah sejauh ini semoga ada hasil;netral
belum tahu hasilnya tidak ada masalah sejauh ini oke untuk sekarang;netral
ga ada perubahan sama sekali malah bikin mulas tidak sesuai deskripsi;negatif
belum tahu hasilnya cocok untuk pemula lumayan lah;netral
sudah pakai seminggu harga tidak sebanding kualitas tidak beli lagi;negatif
efeknya lama banget muncul hasilnya mengecewakan tidak sesuai deskripsi;negatif
rasa terlalu pahit harga tidak sebanding kualitas sangat mengecewakan;negatif
produk aman digunakan butuh waktu untuk lihat hasil biasa saja;netral
ga ada perubahan sama sekali teksturnya aneh nyesel beli;negatif
respon penjual baik cocok untuk pemula semoga ada hasil;netral
setelah coba beberapa hari teksturnya aneh tidak rekomendasi;negatif
kemasan rapi masih proses penyesuaian moga cocok nantinya;netral
aroma biasa saja belum bisa menilai efeknya semoga ada hasil;netral
bikin pusing tidak nyaman dipakai kapok beli sini lagi;negatif
pengiriman cepat cocok untuk pemula tidak buruk;netral
belum tahu hasilnya cocok untuk pemula moga cocok nantinya;netral
baru coba sedikit masih proses penyesuaian biasa saja;netral
baru coba sedikit belum bisa menilai efeknya tidak buruk;netral
respon penjual baik tidak ada masalah sejauh ini oke untuk sekarang;netral
masih tunggu hasil lumayan untuk percobaan biasa saja;netral
pengiriman cepat masih proses penyesuaian moga cocok nantinya;netral
sudah pakai seminggu cuma buang uang kurang memuaskan;negatif
masih tunggu hasil belum ada efek signifikan biasa saja;netral
aku kecewa malah bikin mulas tidak rekomendasi;negatif
efeknya lama banget muncul bikin perut tidak enak tidak beli lagi;negatif
baru coba sedikit belum bisa menilai efeknya semoga ada hasil;netral
tidak direkomendasikan belum terasa manfaatnya sangat mengecewakan;negatif
tidak direkomendasikan belum terasa manfaatnya kapok beli sini lagi;negatif
respon penjual baik cocok untuk pemula lumayan lah;netral
pengalaman kurang baik tidak nyaman dipakai nyesel beli;negatif
produk aman digunakan tidak ada masalah sejauh ini moga cocok nantinya;netral
belum tahu hasilnya lumayan untuk percobaan oke untuk sekarang;netral
produk aman digunakan tidak ada masalah sejauh ini oke untuk sekarang;netral
belum tahu hasilnya belum bisa menilai efeknya tidak buruk;netral
efeknya lama banget muncul cuma buang uang parah banget;negatif
belum tahu hasilnya masih proses penyesuaian oke untuk sekarang;netral
aroma biasa saja butuh waktu untuk lihat hasil moga cocok nantinya;netral
rasa standar saja butuh waktu untuk lihat hasil biasa saja;netral
pengiriman cepat tidak ada masalah sejauh ini lumayan lah;netral
aroma biasa saja tidak ada masalah sejauh ini tidak buruk;netral
pengalaman kurang baik malah bikin mulas nyesel beli;negatif
masih tunggu hasil belum ada efek signifikan lumayan lah;netral
jujur tidak sesuai harapan malah bikin mulas parah banget;negatif
kemasan rapi lumayan untuk percobaan biasa saja;netral
efeknya lama banget muncul cuma buang uang tidak rekomendasi;negatif
aroma biasa saja butuh waktu untuk lihat hasil tidak buruk;netral
baru coba sedikit belum bisa menilai efeknya semoga ada hasil;netral
efeknya lama banget muncul teksturnya aneh tidak rekomendasi;negatif
hasilnya jauh dari ekspektasi hasilnya mengecewakan tidak rekomendasi;negatif
sudah pakai seminggu tidak ada efek asli tidak beli lagi;negatif
ga ada perubahan sama sekali cuma buang uang tidak beli lagi;negatif
respon penjual baik lumayan untuk percobaan oke untuk sekarang;netral
pengiriman cepat masih proses penyesuaian lumayan lah;netral
hasilnya jauh dari ekspektasi tidak nyaman dipakai parah banget;negatif
jujur tidak sesuai harapan teksturnya aneh tidak rekomendasi;negatif
rasa terlalu pahit malah bikin mulas nyesel beli;negatif
masih tunggu hasil masih proses penyesuaian tidak buruk;netral
tidak direkomendasikan belum terasa manfaatnya sangat mengecewakan;negatif
produk aman digunakan lumayan untuk percobaan tidak buruk;netral
hasilnya jauh dari ekspektasi belum terasa manfaatnya tidak beli lagi;negatif
sudah pakai seminggu tidak ada efek asli kapok beli sini lagi;negatif
pengalaman kurang baik pengiriman telat dan kemasan rusak nyesel beli;negatif
bau kurang enak teksturnya aneh tidak beli lagi;negatif
setelah coba beberapa hari tidak nyaman dipakai kurang memuaskan;negatif
baru coba sedikit belum bisa menilai efeknya semoga ada hasil;netral
rasa standar saja netral tidak ada perubahan berarti moga cocok nantinya;netral
setelah coba beberapa hari tidak nyaman dipakai tidak beli lagi;negatif
belum tahu hasilnya belum ada efek signifikan oke untuk sekarang;netral
pengiriman cepat butuh waktu untuk lihat hasil oke untuk sekarang;netral
belum tahu hasilnya butuh waktu untuk lihat hasil oke untuk sekarang;netral
baru coba sedikit masih proses penyesuaian oke untuk sekarang;netral
rasa standar saja tidak ada masalah sejauh ini moga cocok nantinya;netral
sudah pakai seminggu tidak ada efek asli tidak sesuai deskripsi;negatif
ga ada perubahan sama sekali bikin perut tidak enak kapok beli sini lagi;negatif
hasilnya jauh dari ekspektasi belum terasa manfaatnya kapok beli sini lagi;negatif
aku kecewa tidak ada efek asli tidak beli lagi;negatif
baru coba sedikit belum bisa menilai efeknya semoga ada hasil;netral
kemasan rapi tidak ada masalah sejauh ini semoga ada hasil;netral
pengalaman kurang baik tidak nyaman dipakai tidak beli lagi;negatif
hasilnya jauh dari ekspektasi cuma buang uang kurang memuaskan;negatif
efeknya lama banget muncul hasilnya mengecewakan parah banget;negatif
rasa terlalu pahit belum terasa manfaatnya sangat mengecewakan;negatif
kemasan rapi belum ada efek signifikan lumayan lah;netral
respon penjual baik belum bisa menilai efeknya oke untuk sekarang;netral
bau kurang enak tidak nyaman dipakai tidak rekomendasi;negatif
rasa standar saja masih proses penyesuaian semoga ada hasil;netral
ga ada perubahan sama sekali hasilnya mengecewakan tidak beli lagi;negatif
respon penjual baik belum ada efek signifikan oke untuk sekarang;netral
sudah pakai seminggu bikin perut tidak enak nyesel beli;negatif
kemasan rapi lumayan untuk percobaan lumayan lah;netral
rasa standar saja butuh waktu untuk lihat hasil lumayan lah;netral
respon penjual baik belum bisa menilai efeknya biasa saja;netral
setelah coba beberapa hari pengiriman telat dan kemasan rusak kapok beli sini lagi;negatif
jujur tidak sesuai harapan teksturnya aneh produk gagal total;negatif
jamu nya kurang banget;negatif
baru coba sedikit cocok untuk pemula tidak buruk;netral
sudah pakai seminggu bikin perut tidak enak tidak beli lagi;negatif
kemasan rapi masih proses penyesuaian moga cocok nantinya;netral
produk aman digunakan belum bisa menilai efeknya biasa saja;netral
rasa standar saja butuh waktu untuk lihat hasil oke untuk sekarang;netral
aroma biasa saja lumayan untuk percobaan semoga ada hasil;netral
sudah pakai seminggu malah bikin mulas tidak rekomendasi;negatif
pengiriman cepat lumayan untuk percobaan semoga ada hasil;netral
hasilnya jauh dari ekspektasi teksturnya aneh sangat mengecewakan;negatif
setelah coba beberapa hari malah bikin mulas tidak sesuai deskripsi;negatif
ga ada perubahan sama sekali pengiriman telat dan kemasan rusak nyesel beli;negatif
rasa terlalu pahit malah bikin mulas kapok beli sini lagi;negatif
kemasan rapi belum ada efek signifikan oke untuk sekarang;netral
aroma biasa saja masih proses penyesuaian biasa saja;netral
pengiriman cepat netral tidak ada perubahan berarti biasa saja;netral
aroma biasa saja butuh waktu untuk lihat hasil oke untuk sekarang;netral
jujur tidak sesuai harapan teksturnya aneh nyesel beli;negatif
kemasan rapi netral tidak ada perubahan berarti semoga ada hasil;netral
ga ada perubahan sama sekali tidak nyaman dipakai produk gagal total;negatif
masih tunggu hasil netral tidak ada perubahan berarti lumayan lah;netral
ga ada perubahan sama sekali cuma buang uang tidak beli lagi;negatif
bau kurang enak tidak nyaman dipakai tidak sesuai deskripsi;negatif
belum tahu hasilnya masih proses penyesuaian semoga ada hasil;netral
respon penjual baik masih proses penyesuaian oke untuk sekarang;netral
produk aman digunakan tidak ada masalah sejauh ini oke untuk sekarang;netral
tidak direkomendasikan teksturnya aneh kapok beli sini lagi;negatif
